股票代码,股票名称,行业,类型,理由
RGTI,Rigetti Computing,量子计算,热点代表股,量子计算热点代表股，超导路线，108量子比特Cepheus系统
QBTS,D-Wave Quantum,量子计算,热点代表股,量子计算热点代表股，量子退火路线，营收+179%
QUBT,Quantum Computing Inc,量子计算,热点代表股,量子计算热点代表股，量子四杰之一，高投机
COIN,Coinbase,加密资产与稳定币,巨头型龙头,加密主线巨头，美国最大加密交易所
MSTR,Strategy (原MicroStrategy),加密资产与稳定币,巨头型龙头,加密主线巨头，持有71万枚比特币的杠杆代理
CRCL,Circle,加密资产与稳定币,热点代表股,加密主线热点代表股，USDC稳定币发行商，年内涨68%
HOOD,Robinhood,加密资产与稳定币,热点代表股,加密主线热点代表股，金融科技平台
BMNR,Bitmine Immersion,加密资产与稳定币,热点代表股,加密主线热点代表股，以太坊金库，一年涨217%
TSLA,特斯拉 (Tesla),人形机器人,巨头型龙头,人形机器人主线巨头，Optimus为核心，计划Fremont工厂年产100万台
QCOM,高通 (Qualcomm),人形机器人,热点代表股,人形机器人主线热点代表股(卖铲)，Dragonwing边缘AI芯片
MP,MP Materials,人形机器人,热点代表股,人形机器人主线热点代表股(卖铲)，稀土供应链
LLY,礼来 (Eli Lilly),医疗/GLP-1,巨头型龙头,医疗/GLP-1主线巨头，Mounjaro/Zepbound减肥药，疗效领先
NVO,诺和诺德 (Novo Nordisk),医疗/GLP-1,巨头型龙头,医疗/GLP-1主线巨头，Wegovy HD获FDA批准，减重达20.7%
VKTX,Viking Therapeutics,医疗/GLP-1,热点代表股,医疗/GLP-1主线热点代表股，减肥药新秀
JPM,摩根大通 (JPMorgan),金融,巨头型龙头,金融主线巨头，Q1投行费用+28%
GS,高盛 (Goldman Sachs),金融,巨头型龙头,金融主线巨头，Q1股票交易营收创纪录+27%
SOFI,SoFi Technologies,金融,热点代表股,金融主线热点代表股，金融科技，推出加密交易
SPCX,SpaceX,太空经济,巨头型龙头,太空主线巨头，史上最大IPO，估值约2万亿美元
PL,Planet Labs,太空经济,热点代表股,太空主线热点代表股，卫星影像，营收+42%
LUNR,Intuitive Machines,太空经济,热点代表股,太空主线热点代表股，月球着陆器
RDW,Redwire,太空经济,热点代表股,太空主线热点代表股，太空基础设施
PANW,Palo Alto Networks,网络安全,巨头型龙头,网络安全主线巨头，下一代防火墙龙头，250亿美元收购CyberArk
CRWD,CrowdStrike,网络安全,巨头型龙头,网络安全主线巨头，Falcon云原生平台，ARR突破52.5亿美元
FTNT,Fortinet,网络安全,热点代表股,网络安全热点代表股
NET,Cloudflare,网络安全,热点代表股,网络安全热点代表股
ZS,Zscaler,网络安全,热点代表股,网络安全热点代表股
S,SentinelOne,网络安全,热点代表股,网络安全热点代表股，摩根士丹利首选
OKTA,Okta,网络安全,热点代表股,网络安全热点代表股，身份安全突破
DDOG,Datadog,网络安全,热点代表股,网络安全/可观测性热点代表股
CAT,卡特彼勒 (Caterpillar),工业/基础设施,巨头型龙头,工业/基础设施主线巨头，AI数据中心建设受益
HON,霍尼韦尔 (Honeywell),工业/基础设施,巨头型龙头,工业/基础设施主线巨头
UNP,联合太平洋 (Union Pacific),工业/基础设施,巨头型龙头,工业/基础设施主线巨头，铁路运输
BA,波音 (Boeing),工业/基础设施,巨头型龙头,工业/基础设施主线巨头，航空制造
WMT,沃尔玛 (Walmart),工业/基础设施,防御股,工业/必需消费防御股，年内涨13.7%
COST,好市多 (Costco),工业/基础设施,防御股,工业/必需消费防御股，年内涨15.7%
